epci_siren,epci_nom,epci_type,code_commune,nom_commune
200040954,CC des Hauts de Flandre,CC,59162,Crochte
200040954,CC des Hauts de Flandre,CC,59182,Drincham
200040954,CC des Hauts de Flandre,CC,59200,Eringhem
200040954,CC des Hauts de Flandre,CC,59210,Esquelbecq
200040954,CC des Hauts de Flandre,CC,59305,Herzeele
200040954,CC des Hauts de Flandre,CC,59307,Holque
200040954,CC des Hauts de Flandre,CC,59309,Hondschoote
200040954,CC des Hauts de Flandre,CC,59319,Hoymille
200040954,CC des Hauts de Flandre,CC,59326,Killem
200040954,CC des Hauts de Flandre,CC,59337,Lederzeele
200040954,CC des Hauts de Flandre,CC,59338,Ledringhem
200040954,CC des Hauts de Flandre,CC,59358,Looberghe
200040954,CC des Hauts de Flandre,CC,59397,Merckeghem
200040954,CC des Hauts de Flandre,CC,59402,Millam
200040954,CC des Hauts de Flandre,CC,59433,Nieurlet
200040954,CC des Hauts de Flandre,CC,59448,Oost-Cappel
200040954,CC des Hauts de Flandre,CC,59463,Pitgam
200040954,CC des Hauts de Flandre,CC,59478,Quaëdypre
200040954,CC des Hauts de Flandre,CC,59499,Rexpoëde
200040954,CC des Hauts de Flandre,CC,59538,Saint-Momelin
200040954,CC des Hauts de Flandre,CC,59539,Saint-Pierre-Brouck
200040954,CC des Hauts de Flandre,CC,59570,Socx
200040954,CC des Hauts de Flandre,CC,59579,Steene
200040954,CC des Hauts de Flandre,CC,59605,Uxem
200040954,CC des Hauts de Flandre,CC,59628,Volckerinckhove
200040954,CC des Hauts de Flandre,CC,59641,Warhem
200040954,CC des Hauts de Flandre,CC,59647,Watten
200040954,CC des Hauts de Flandre,CC,59657,West-Cappel
200040954,CC des Hauts de Flandre,CC,59663,Wormhout
200040954,CC des Hauts de Flandre,CC,59664,Wulverdinghe
200040954,CC des Hauts de Flandre,CC,59665,Wylder
200040954,CC des Hauts de Flandre,CC,59666,Zegerscappel
200041960,CC Pévèle-Carembault,CC,59004,Aix-en-Pévèle
200041960,CC Pévèle-Carembault,CC,59022,Attiches
200041960,CC Pévèle-Carembault,CC,59029,Auchy-lez-Orchies
200041960,CC Pévèle-Carembault,CC,59034,Avelin
200041960,CC Pévèle-Carembault,CC,59042,Bachy
200041960,CC Pévèle-Carembault,CC,59071,Bersée
200041960,CC Pévèle-Carembault,CC,59080,Beuvry-la-Forêt
200041960,CC Pévèle-Carembault,CC,59096,Bourghelles
200041960,CC Pévèle-Carembault,CC,59105,Bouvignies
200041960,CC Pévèle-Carembault,CC,59123,Camphin-en-Carembault
200041960,CC Pévèle-Carembault,CC,59124,Camphin-en-Pévèle
200041960,CC Pévèle-Carembault,CC,59129,Cappelle-en-Pévèle
200041960,CC Pévèle-Carembault,CC,59145,Chemy
200041960,CC Pévèle-Carembault,CC,59150,Cobrieux
200041960,CC Pévèle-Carembault,CC,59158,Coutiches
200041960,CC Pévèle-Carembault,CC,59168,Cysoing
200041960,CC Pévèle-Carembault,CC,59197,Ennevelin
200041960,CC Pévèle-Carembault,CC,59258,Genech
200041960,CC Pévèle-Carembault,CC,59266,Gondecourt
200041960,CC Pévèle-Carembault,CC,59304,Herrin
200041960,CC Pévèle-Carembault,CC,59427,La Neuville
200041960,CC Pévèle-Carembault,CC,59330,Landas
200041960,CC Pévèle-Carembault,CC,59364,Louvil
200041960,CC Pévèle-Carembault,CC,59398,Mérignies
200041960,CC Pévèle-Carembault,CC,59408,Moncheaux
200041960,CC Pévèle-Carembault,CC,59411,Mons-en-Pévèle
200041960,CC Pévèle-Carembault,CC,59419,Mouchin
200041960,CC Pévèle-Carembault,CC,59435,Nomain
200041960,CC Pévèle-Carembault,CC,59449,Orchies
200041960,CC Pévèle-Carembault,CC,59452,Ostricourt
200041960,CC Pévèle-Carembault,CC,59462,Phalempin
200041960,CC Pévèle-Carembault,CC,59466,Pont-à-Marcq
200041960,CC Pévèle-Carembault,CC,59551,Saméon
200041960,CC Pévèle-Carembault,CC,59586,Templeuve-en-Pévèle
200041960,CC Pévèle-Carembault,CC,59592,Thumeries
200041960,CC Pévèle-Carembault,CC,59600,Tourmignies
200041960,CC Pévèle-Carembault,CC,59630,Wahagnies
200041960,CC Pévèle-Carembault,CC,59638,Wannehain
200042190,CA de la Porte du Hainaut,CA,59002,Abscon
200042190,CA de la Porte du Hainaut,CA,59038,Avesnes-le-Sec
200042190,CA de la Porte du Hainaut,CA,59064,Bellaing
200042190,CA de la Porte du Hainaut,CA,59092,Bouchain
200042190,CA de la Porte du Hainaut,CA,59100,Bousignies
200042190,CA de la Porte du Hainaut,CA,59109,Brillon
200042190,CA de la Porte du Hainaut,CA,59114,Bruille-Saint-Amand
200042190,CA de la Porte du Hainaut,CA,59144,Château-l'Abbaye
200042190,CA de la Porte du Hainaut,CA,59172,Denain
200042190,CA de la Porte du Hainaut,CA,59179,Douchy-les-Mines
200042190,CA de la Porte du Hainaut,CA,59192,Émerchicourt
200042190,CA de la Porte du Hainaut,CA,59205,Escaudain
200042190,CA de la Porte du Hainaut,CA,59207,Escautpont
200042190,CA de la Porte du Hainaut,CA,59238,Flines-lès-Mortagne
200042190,CA de la Porte du Hainaut,CA,59284,Hasnon
200042190,CA de la Porte du Hainaut,CA,59285,Haspres
200042190,CA de la Porte du Hainaut,CA,59288,Haulchin
200042190,CA de la Porte du Hainaut,CA,59292,Haveluy
200042190,CA de la Porte du Hainaut,CA,59297,Hélesmes
200042190,CA de la Porte du Hainaut,CA,59302,Hérin
200042190,CA de la Porte du Hainaut,CA,59313,Hordain
200042190,CA de la Porte du Hainaut,CA,59564,La Sentinelle
200042190,CA de la Porte du Hainaut,CA,59335,Lecelles
200042190,CA de la Porte du Hainaut,CA,59348,Lieu-Saint-Amand
200042190,CA de la Porte du Hainaut,CA,59361,Lourches
200042190,CA de la Porte du Hainaut,CA,59387,Marquette-en-Ostrevant
200042190,CA de la Porte du Hainaut,CA,59391,Mastaing
200042190,CA de la Porte du Hainaut,CA,59393,Maulde
200042190,CA de la Porte du Hainaut,CA,59403,Millonfosse
200042190,CA de la Porte du Hainaut,CA,59418,Mortagne-du-Nord
200042190,CA de la Porte du Hainaut,CA,59429,Neuville-sur-Escaut
200042190,CA de la Porte du Hainaut,CA,59434,Nivelle
200042190,CA de la Porte du Hainaut,CA,59440,Noyelles-sur-Selle
200042190,CA de la Porte du Hainaut,CA,59446,Oisy
200042190,CA de la Porte du Hainaut,CA,59491,Raismes
200042190,CA de la Porte du Hainaut,CA,59504,Rœulx
200042190,CA de la Porte du Hainaut,CA,59511,Rosult
200042190,CA de la Porte du Hainaut,CA,59519,Rumegies
200042190,CA de la Porte du Hainaut,CA,59526,Saint-Amand-les-Eaux
200042190,CA de la Porte du Hainaut,CA,59554,Sars-et-Rosières
200042190,CA de la Porte du Hainaut,CA,59589,Thiant
200042190,CA de la Porte du Hainaut,CA,59594,Thun-Saint-Amand
200042190,CA de la Porte du Hainaut,CA,59603,Trith-Saint-Léger
200042190,CA de la Porte du Hainaut,CA,59632,Wallers
200042190,CA de la Porte du Hainaut,CA,59645,Wasnes-au-Bac
200042190,CA de la Porte du Hainaut,CA,59651,Wavrechain-sous-Denain
200042190,CA de la Porte du Hainaut,CA,59652,Wavrechain-sous-Faulx
200043263,CC Coeur de l'Avesnois,CC,59035,Avesnelles
200043263,CC Coeur de l'Avesnois,CC,59036,Avesnes-sur-Helpe
200043263,CC Coeur de l'Avesnois,CC,59050,Bas-Lieu
200043263,CC Coeur de l'Avesnois,CC,59061,Beaurepaire-sur-Sambre
200043263,CC Coeur de l'Avesnois,CC,59062,Beaurieux
200043263,CC Coeur de l'Avesnois,CC,59066,Bérelles
