code_commune,nom_commune,epci_nom,categorie_priorite,score_fragilite,nb_commerces_manquants,liste_manquants
59297,HELESMES,CA de la Porte du Hainaut,Priorité B,44.18,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59299,HEM,Métropole Européenne de Lille,Priorité B,50.15,2,"Coiffeur, Bar-Café"
59300,HEM-LENGLET,CA de Cambrai,Priorité B,52.96,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59310,HON-HERGIES,CC du Pays de Mormal,Priorité B,45.59,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59315,HOUDAIN-LEZ-BAVAY,CC du Pays de Mormal,Priorité B,42.28,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59318,HOUTKERQUE,CA Coeur de Flandre,Priorité B,43.96,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59321,INCHY,CA du Caudrésis et du Catésis,Priorité B,51.66,5,"Boulangerie, Pharmacie, Tabac-Presse, Coiffeur, Bar-Café"
59324,JEUMONT,CA Maubeuge Val de Sambre,Priorité B,54.64,2,"Coiffeur, Bar-Café"
59327,LALLAING,CA Douaisis Agglo,Priorité B,51.68,3,"Boulangerie, Coiffeur, Bar-Café"
59334,LAUWIN-PLANQUE,CA Douaisis Agglo,Priorité B,45.13,5,"Boulangerie, Épicerie, Tabac-Presse, Coiffeur, Bar-Café"
59338,LEDRINGHEM,CC des Hauts de Flandre,Priorité B,43.01,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59340,LEFFRINCKOUCKE,CU de Dunkerque,Priorité B,47.15,5,"Boulangerie, Épicerie, Tabac-Presse, Coiffeur, Bar-Café"
59341,LESDAIN,CA de Cambrai,Priorité A,56.8,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59342,LEZ-FONTAINE,CC Coeur de l'Avesnois,Priorité A,56.93,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59345,LEWARDE,CA Coeur d'Ostrevent,Priorité B,54.06,4,"Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59347,LIESSIES,CC Coeur de l'Avesnois,Priorité B,47.19,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59350,LILLE,Métropole Européenne de Lille,Priorité A,71.36,2,"Coiffeur, Bar-Café"
59351,LIMONT-FONTAINE,CA Maubeuge Val de Sambre,Priorité B,49.23,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59360,LOOS,Métropole Européenne de Lille,Priorité B,50.12,3,"Tabac-Presse, Coiffeur, Bar-Café"
59361,LOURCHES,CA de la Porte du Hainaut,Priorité B,51.76,3,"Tabac-Presse, Coiffeur, Bar-Café"
59365,LOUVROIL,CA Maubeuge Val de Sambre,Priorité B,56.99,3,"Tabac-Presse, Coiffeur, Bar-Café"
59366,LYNDE,CA Coeur de Flandre,Priorité B,37.13,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59369,MAING,CA Valenciennes Métropole,Priorité B,46.38,4,"Boulangerie, Tabac-Presse, Coiffeur, Bar-Café"
59382,MARETZ,CA du Caudrésis et du Catésis,Priorité B,50.21,5,"Boulangerie, Pharmacie, Tabac-Presse, Coiffeur, Bar-Café"
59383,MARLY,CA Valenciennes Métropole,Priorité B,52.69,3,"Épicerie, Coiffeur, Bar-Café"
59390,MASNY,CA Coeur d'Ostrevent,Priorité B,51.02,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59391,MASTAING,CA de la Porte du Hainaut,Priorité B,47.59,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59392,MAUBEUGE,CA Maubeuge Val de Sambre,Priorité B,58.76,2,"Coiffeur, Bar-Café"
59394,MAUROIS,CA du Caudrésis et du Catésis,Priorité A,61.4,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59397,MERCKEGHEM,CC des Hauts de Flandre,Priorité B,47.75,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59399,MERRIS,CA Coeur de Flandre,Priorité B,47.11,6,"Boulangerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59407,MONCHAUX-SUR-ECAILLON,CA Valenciennes Métropole,Priorité B,40.64,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59408,MONCHEAUX,CC Pévèle-Carembault,Priorité B,42.47,6,"Boulangerie, Épicerie, Pharmacie, Tabac-Presse, Coiffeur, Bar-Café"
59409,MONCHECOURT,CA Coeur d'Ostrevent,Priorité B,49.49,6,"Boulangerie, Épicerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59415,MONTRECOURT,CC du Pays Solesmois,Priorité B,46.81,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59418,MORTAGNE-DU-NORD,CA de la Porte du Hainaut,Priorité B,50.05,6,"Boulangerie, Épicerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59419,MOUCHIN,CC Pévèle-Carembault,Priorité B,46.63,6,"Boulangerie, Épicerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59424,NEUF-MESNIL,CA Maubeuge Val de Sambre,Priorité B,50.23,6,"Boulangerie, Épicerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59428,NEUVILLE-SAINT-REMY,CA de Cambrai,Priorité B,51.74,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59429,NEUVILLE-SUR-ESCAUT,CA de la Porte du Hainaut,Priorité B,49.6,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59435,NOMAIN,CC Pévèle-Carembault,Priorité B,46.2,5,"Boulangerie, Épicerie, Tabac-Presse, Coiffeur, Bar-Café"
59437,NOYELLES-LES-SECLIN,Métropole Européenne de Lille,Priorité B,45.62,6,"Boulangerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59439,NOYELLES-SUR-SAMBRE,CA Maubeuge Val de Sambre,Priorité A,58.0,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59440,NOYELLES-SUR-SELLE,CA de la Porte du Hainaut,Priorité B,47.04,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59441,OBIES,CC du Pays de Mormal,Priorité B,44.02,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59447,ONNAING,CA Valenciennes Métropole,Priorité B,50.73,3,"Tabac-Presse, Coiffeur, Bar-Café"
59448,OOST-CAPPEL,CC des Hauts de Flandre,Priorité B,48.04,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59453,OUDEZEELE,CA Coeur de Flandre,Priorité B,46.07,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59454,OXELAERE,CA Coeur de Flandre,Priorité B,42.82,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59456,PECQUENCOURT,CA Coeur d'Ostrevent,Priorité B,55.33,4,"Boulangerie, Tabac-Presse, Coiffeur, Bar-Café"
59461,PETIT-FAYT,CC Coeur de l'Avesnois,Priorité B,51.62,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59468,POTELLE,CC du Pays de Mormal,Priorité B,36.15,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59469,PRADELLES,CA Coeur de Flandre,Priorité B,45.79,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59473,PREUX-AU-SART,CC du Pays de Mormal,Priorité B,29.07,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59480,QUERENAING,CA Valenciennes Métropole,Priorité B,45.28,6,"Boulangerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59483,QUIEVELON,CA Maubeuge Val de Sambre,Priorité B,48.62,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59484,QUIEVRECHAIN,CA Valenciennes Métropole,Priorité B,51.16,3,"Boulangerie, Coiffeur, Bar-Café"
59491,RAISMES,CA de la Porte du Hainaut,Priorité B,51.54,2,"Coiffeur, Bar-Café"
59492,RAMILLIES,CA de Cambrai,Priorité B,53.81,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59494,RAUCOURT-AU-BOIS,CC du Pays de Mormal,Priorité A,56.99,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59503,ROBERSART,CC du Pays de Mormal,Priorité B,45.24,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59504,RŒULX,CA de la Porte du Hainaut,Priorité B,53.85,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59506,ROMERIES,CC du Pays Solesmois,Priorité B,48.31,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59512,ROUBAIX,Métropole Européenne de Lille,Priorité A,67.75,2,"Coiffeur, Bar-Café"
59520,RUMILLY-EN-CAMBRESIS,CA de Cambrai,Priorité B,49.25,6,"Boulangerie, Épicerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59524,SAINGHIN-EN-WEPPES,Métropole Européenne de Lille,Priorité B,45.98,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59525,SAINS-DU-NORD,CC Coeur de l'Avesnois,Priorité B,56.05,6,"Boulangerie, Épicerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59529,SAINT-AUBIN,CC Coeur de l'Avesnois,Priorité B,46.19,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59530,SAINT-AYBERT,CA Valenciennes Métropole,Priorité B,46.18,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59531,SAINT-BENIN,CA du Caudrésis et du Catésis,Priorité B,55.57,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
