code_commune,nom_commune,epci_nom,population,taux_chomage,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale,solde_net,score_mortalite,score_solde,score_densite,score_chomage,score_fragilite,quartile,cluster,profil,categorie_priorite
59078,BEUGNIES,CC Coeur de l'Avesnois,599.0,11.8,22,13,9,40.909090909090914,21.702838063439067,4,10.23,0.09,20.0,7.69,38.0,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59079,BEUVRAGES,CA Valenciennes Métropole,6796.0,27.23,186,61,125,67.20430107526882,8.975868157739846,-64,16.8,0.51,22.93,17.74,57.99,Q4-Fragile,1.0,Précaire,Priorité B
59080,BEUVRY-LA-FORET,CC Pévèle-Carembault,2861.0,5.91,78,36,42,53.84615384615385,12.583012932541068,-6,13.46,0.15,22.1,3.85,39.56,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59081,BEVILLERS,CA du Caudrésis et du Catésis,529.0,16.27,18,8,10,55.55555555555556,15.122873345935728,-2,13.89,0.12,21.51,10.6,46.13,Q3-Fragilisé,1.0,Précaire,Non prioritaire
59082,BIERNE,CC des Hauts de Flandre,1716.0,5.96,36,16,20,55.55555555555556,9.324009324009324,-4,13.89,0.14,22.85,3.88,40.76,Q1-Dynamique,3.0,Désertifié,Non prioritaire
59083,BISSEZEELE,CC des Hauts de Flandre,239.0,2.54,2,1,1,50.0,4.184100418410042,0,12.5,0.11,24.04,1.65,38.3,Q1-Dynamique,3.0,Désertifié,Priorité B
59084,BLARINGHEM,CA Coeur de Flandre,2008.0,9.49,63,30,33,52.38095238095239,14.9402390438247,-3,13.1,0.13,21.55,6.18,40.96,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59085,BLECOURT,CA de Cambrai,313.0,8.5,10,2,8,80.0,6.389776357827476,-6,20.0,0.15,23.53,5.54,49.21,Q4-Fragile,3.0,Désertifié,Priorité B
59086,BOESCHEPE,CA Coeur de Flandre,2244.0,6.11,108,40,68,62.96296296296296,17.825311942959,-28,15.74,0.29,20.89,3.98,40.9,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59087,BOESEGHEM,CA Coeur de Flandre,766.0,9.56,17,6,11,64.70588235294117,7.83289817232376,-5,16.18,0.14,23.19,6.23,45.74,Q3-Fragilisé,3.0,Désertifié,Priorité B
