code_commune,nom_commune,epci_siren,epci_nom,epci_type,population,taux_chomage,revenu_median,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale
59094,BOURBOURG,245900428,CU de Dunkerque,CU,6931.0,13.48,8980.0,256,117,139,54.296875,16.880680998412927
59096,BOURGHELLES,200041960,CC Pévèle-Carembault,CC,1682.0,7.2,,43,18,25,58.139534883720934,10.70154577883472
59097,BOURSIES,200068500,CA de Cambrai,CA,360.0,13.05,,12,8,4,33.33333333333333,22.22222222222222
59098,BOUSBECQUE,200093201,Métropole Européenne de Lille,METRO,4978.0,7.66,9820.0,106,43,63,59.43396226415094,8.638007231820009
59099,BOUSIES,200043321,CC du Pays de Mormal,CC,1769.0,11.06,,63,28,35,55.55555555555556,15.828151498021482
59100,BOUSIGNIES,200042190,CA de la Porte du Hainaut,CA,339.0,8.25,,5,1,4,80.0,2.949852507374631
59101,BOUSIGNIES-SUR-ROC,200043396,CA Maubeuge Val de Sambre,CA,369.0,10.82,,8,2,6,75.0,5.420054200542006
59102,BOUSSIERES-EN-CAMBRESIS,200030633,CA du Caudrésis et du Catésis,CA,436.0,14.21,,10,6,4,40.0,13.761467889908257
59103,BOUSSIERES-SUR-SAMBRE,200043396,CA Maubeuge Val de Sambre,CA,522.0,13.45,,7,3,4,57.14285714285714,5.747126436781609
59104,BOUSSOIS,200043396,CA Maubeuge Val de Sambre,CA,3123.0,15.6,8200.0,94,49,45,47.87234042553192,15.69004162664105
59105,BOUVIGNIES,200041960,CC Pévèle-Carembault,CC,1580.0,5.93,,29,11,18,62.06896551724138,6.962025316455696
59106,BOUVINES,200093201,Métropole Européenne de Lille,METRO,766.0,6.41,,30,21,9,30.0,27.41514360313316
59107,BRAY-DUNES,245900428,CU de Dunkerque,CU,4189.0,12.69,8580.0,153,60,93,60.78431372549019,14.3232275005968
59108,BRIASTRE,200030633,CA du Caudrésis et du Catésis,CA,689.0,12.0,,19,5,14,73.68421052631578,7.25689404934688
59109,BRILLON,200042190,CA de la Porte du Hainaut,CA,771.0,9.69,,18,9,9,50.0,11.673151750972762
59110,BROUCKERQUE,200040954,CC des Hauts de Flandre,CC,1452.0,5.24,,21,7,14,66.66666666666666,4.820936639118457
59111,BROXEELE,200040954,CC des Hauts de Flandre,CC,425.0,4.79,,21,11,10,47.61904761904761,25.88235294117647
59112,BRUAY-SUR-L'ESCAUT,245901160,CA Valenciennes Métropole,CA,11644.0,20.63,7280.0,361,148,213,59.0027700831025,12.710408794228787
59113,BRUILLE-LEZ-MARCHIENNES,245901152,CA Coeur d'Ostrevent,CA,1340.0,15.3,,24,7,17,70.83333333333334,5.223880597014925
59114,BRUILLE-SAINT-AMAND,200042190,CA de la Porte du Hainaut,CA,1698.0,9.28,,35,13,22,62.857142857142854,7.656065959952886
59115,BRUNEMONT,200044618,CA Douaisis Agglo,CA,704.0,11.77,,13,8,5,38.46153846153847,11.363636363636365
59116,BRY,200043321,CC du Pays de Mormal,CC,390.0,4.69,,8,1,7,87.5,2.564102564102564
59117,BUGNICOURT,200044618,CA Douaisis Agglo,CA,1095.0,7.91,,22,9,13,59.09090909090909,8.219178082191782
59118,BUSIGNY,200030633,CA du Caudrésis et du Catésis,CA,2435.0,23.73,8380.0,59,24,35,59.32203389830508,9.856262833675565
59119,BUYSSCHEURE,200040947,CA Coeur de Flandre,CA,582.0,7.75,,16,7,9,56.25,12.027491408934708
59120,CAESTRE,200040947,CA Coeur de Flandre,CA,1951.0,5.77,,39,19,20,51.28205128205128,9.738595592004101
59121,CAGNONCLES,200068500,CA de Cambrai,CA,663.0,10.09,,13,6,7,53.84615384615385,9.049773755656108
59122,CAMBRAI,200068500,CA de Cambrai,CA,31134.0,21.54,7360.0,1873,751,1122,59.903897490656696,24.12153915333719
59123,CAMPHIN-EN-CAREMBAULT,200041960,CC Pévèle-Carembault,CC,1737.0,6.15,,39,17,22,56.41025641025641,9.78698906160046
